epoca,accuracy,loss,val_accuracy,val_loss
1,0.2565561830997467,2.5494368076324463,0.4219632148742676,1.9428131580352783
2,0.508650541305542,1.60342276096344,0.556182861328125,1.4187227487564087
3,0.616144597530365,1.258057713508606,0.6290293335914612,1.1650091409683228
4,0.6784283518791199,1.0556470155715942,0.6761974096298218,1.0011347532272339
5,0.7253232598304749,0.9098196029663086,0.7158987522125244,0.8703654408454895
6,0.7624749541282654,0.7945758700370789,0.7548716068267822,0.7626750469207764
7,0.7961209416389465,0.6937057971954346,0.7871061563491821,0.6611891984939575
8,0.8235294222831726,0.6067695021629333,0.8136951327323914,0.5838952660560608
9,0.8470224142074585,0.5312039852142334,0.840648353099823,0.5110832452774048
10,0.8684665560722351,0.4640637934207916,0.8787106275558472,0.437577486038208
11,0.8866326808929443,0.40560904145240784,0.9007467031478882,0.37822768092155457
12,0.90461665391922,0.35510504245758057,0.9158623218536377,0.33224353194236755
13,0.9198233485221863,0.3099055588245392,0.9258787035942078,0.2946797013282776
14,0.9308869242668152,0.2704225480556488,0.9415407180786133,0.254960298538208
15,0.9419049620628357,0.2357938438653946,0.9488253593444824,0.2241903394460678
16,0.9502367377281189,0.2080230414867401,0.9551994204521179,0.19918756186962128
17,0.9589328169822693,0.18110205233097076,0.9619377255439758,0.17018304765224457
18,0.9663085341453552,0.1573229283094406,0.9706792831420898,0.14750748872756958
19,0.9730013012886047,0.13711877167224884,0.973957359790802,0.1324228197336197
20,0.9781005382537842,0.1192769706249237,0.977963924407959,0.11781045794487
