epoca,accuracy,loss,val_accuracy,val_loss
1,0.30695682764053345,2.2967042922973633,0.5162994265556335,1.5472930669784546
2,0.5878710746765137,1.272348403930664,0.651247501373291,1.04250168800354
3,0.7210890650749207,0.8659157156944275,0.7834638357162476,0.6864696145057678
4,0.806273877620697,0.5984934568405151,0.8393735289573669,0.5098714232444763
5,0.8701056241989136,0.40342190861701965,0.9065743684768677,0.3010273575782776
6,0.9190493822097778,0.26555126905441284,0.9377162456512451,0.20874641835689545
7,0.9399927258491516,0.20339733362197876,0.9318885207176208,0.20497635006904602
8,0.9618921875953674,0.13933859765529633,0.970497190952301,0.10848145931959152
9,0.9711801409721375,0.10584632307291031,0.9799672365188599,0.08475261926651001
10,0.9831542372703552,0.0691528394818306,0.9899836182594299,0.05260152369737625
11,0.981651782989502,0.06825438141822815,0.995993435382843,0.02921082079410553
12,0.9985430836677551,0.020023085176944733,0.9974503517150879,0.024098265916109085
13,0.9989983439445496,0.01478410605341196,0.9814241528511047,0.05930085480213165
14,0.9659898281097412,0.10598891228437424,0.9632125496864319,0.10080983489751816
15,0.9904844164848328,0.035071320831775665,1.0,0.005457647144794464
16,1.0,0.004082253202795982,1.0,0.004367936868220568
17,1.0,0.0031573765445500612,1.0,0.0038096674252301455
18,1.0,0.0026221787557005882,1.0,0.0032774379942566156
19,1.0,0.0022056549787521362,1.0,0.0028194342739880085
20,1.0,0.001909539569169283,1.0,0.0024432623758912086
