modelo,capas,parametros,epocas,segundos_fit,train_loss,val_loss,train_accuracy,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro,gap_accuracy
C_grande,"(512, 256, 128)",569240,20,18.31783430001815,0.0020558538381010294,0.00259774224832654,1.0,1.0,1.0,1.0,1.0,0.0
B_mediana,"(128, 64)",110296,20,8.533481499995105,0.10399902611970901,0.1178104430437088,0.9833819270133972,0.977963924407959,0.9815450196280331,0.9781928150360195,0.979032384834999,0.005418002605438232
A_pequena,"(32,)",25912,20,6.078353599994443,1.055652141571045,1.074777603149414,0.6735112071037292,0.655982494354248,0.6625404677171508,0.6583771032822939,0.6555549897452478,0.0175287127494812
