epoca,accuracy,loss,val_accuracy,val_loss
1,0.1380895972251892,2.986501455307007,0.23329083621501923,2.7029688358306885
2,0.2736751139163971,2.4663352966308594,0.3389182388782501,2.2468039989471436
3,0.3539428114891052,2.112171173095703,0.38918229937553406,1.9802460670471191
4,0.4138590395450592,1.895484209060669,0.4418138861656189,1.80764639377594
5,0.45970678329467773,1.7456080913543701,0.4718630611896515,1.681420087814331
6,0.4937625229358673,1.6319936513900757,0.49681296944618225,1.5824700593948364
7,0.5211710333824158,1.5428996086120605,0.5175741910934448,1.5040197372436523
8,0.5407029390335083,1.4712679386138916,0.5379711985588074,1.4404468536376953
9,0.5580495595932007,1.4122114181518555,0.5518120527267456,1.3884236812591553
10,0.5706610679626465,1.3623757362365723,0.5645601749420166,1.343762755393982
11,0.5842742919921875,1.319139003753662,0.5789473652839661,1.3047646284103394
12,0.5959752202033997,1.2811996936798096,0.589692234992981,1.2704153060913086
13,0.6057184338569641,1.2473925352096558,0.5975232124328613,1.239414930343628
14,0.6146876811981201,1.216702938079834,0.6042615175247192,1.2110642194747925
15,0.6221999526023865,1.1885262727737427,0.6130030751228333,1.1845827102661133
16,0.6320797801017761,1.16240394115448,0.6222910284996033,1.160319209098816
17,0.6399107575416565,1.1380878686904907,0.6348570585250854,1.1370474100112915
18,0.6479694247245789,1.115198016166687,0.6439628601074219,1.1152931451797485
19,0.6568475961685181,1.093597650527954,0.6496084332466125,1.0945154428482056
20,0.6646785736083984,1.073020100593567,0.655982494354248,1.0747777223587036
